model,strategy,cost_floor,copycats,n_signals,n_executed,final_capital,roi,max_drawdown
hist_gbm,general_ev,0.001,1,112031,1470,2313.200551184107,-0.7686799448815893,7686.799448815893
hist_gbm,general_ev,0.001,5,112031,1972,1962.6706100189904,-0.8037329389981009,8037.32938998101
hist_gbm,general_ev,0.001,10,112031,2080,1366.5139825184638,-0.8633486017481536,8633.486017481537
hist_gbm,general_ev,0.001,25,112031,2065,1615.693639833031,-0.8384306360166969,8384.30636016697
hist_gbm,general_ev,0.001,50,112031,2312,2942.125740515862,-0.7057874259484138,7057.874259484138
hist_gbm,general_ev,0.001,100,112031,2320,4638.775369805471,-0.5361224630194529,5361.224630194529
hist_gbm,general_ev,0.01,1,112031,1470,2313.200551184107,-0.7686799448815893,7686.799448815893
hist_gbm,general_ev,0.01,5,112031,1972,1962.6706100189904,-0.8037329389981009,8037.32938998101
hist_gbm,general_ev,0.01,10,112031,2080,1366.5139825184638,-0.8633486017481536,8633.486017481537
hist_gbm,general_ev,0.01,25,112031,2065,1615.693639833031,-0.8384306360166969,8384.30636016697
hist_gbm,general_ev,0.01,50,112031,2312,2942.125740515862,-0.7057874259484138,7057.874259484138
hist_gbm,general_ev,0.01,100,112031,2320,4638.775369805471,-0.5361224630194529,5361.224630194529
hist_gbm,general_ev,0.05,1,112031,1470,2313.200551184107,-0.7686799448815893,7686.799448815893
hist_gbm,general_ev,0.05,5,112031,1972,1962.6706100189904,-0.8037329389981009,8037.32938998101
hist_gbm,general_ev,0.05,10,112031,2080,1366.5139825184638,-0.8633486017481536,8633.486017481537
hist_gbm,general_ev,0.05,25,112031,2065,1615.693639833031,-0.8384306360166969,8384.30636016697
hist_gbm,general_ev,0.05,50,112031,2312,2942.125740515862,-0.7057874259484138,7057.874259484138
hist_gbm,general_ev,0.05,100,112031,2320,4638.775369805471,-0.5361224630194529,5361.224630194529
hist_gbm,general_ev,0.1,1,112031,1470,2313.200551184107,-0.7686799448815893,7686.799448815893
hist_gbm,general_ev,0.1,5,112031,1972,1962.6706100189904,-0.8037329389981009,8037.32938998101
hist_gbm,general_ev,0.1,10,112031,2080,1366.5139825184638,-0.8633486017481536,8633.486017481537
hist_gbm,general_ev,0.1,25,112031,2065,1615.693639833031,-0.8384306360166969,8384.30636016697
hist_gbm,general_ev,0.1,50,112031,2312,2942.125740515862,-0.7057874259484138,7057.874259484138
hist_gbm,general_ev,0.1,100,112031,2320,4638.775369805471,-0.5361224630194529,5361.224630194529
hist_gbm,general_ev,0.2,1,119958,3970,23114.11772247952,1.3114117722479521,97.38949999996112
hist_gbm,general_ev,0.2,5,119958,3634,15691.110800763612,0.5691110800763612,81.00000000000364
hist_gbm,general_ev,0.2,10,119958,3705,13746.20348227107,0.37462034822710705,86.99999999999454
hist_gbm,general_ev,0.2,25,119958,3217,11923.205913275473,0.1923205913275473,133.50000000000364
hist_gbm,general_ev,0.2,50,119958,2979,10972.78650879757,0.09727865087975697,199.5000000000109
hist_gbm,general_ev,0.2,100,119958,2020,10395.401502925284,0.039540150292528414,129.25974750000205
lightgbm,general_ev,0.001,1,113139,1403,2543.526039152098,-0.7456473960847902,7527.874898454202
lightgbm,general_ev,0.001,5,113139,1879,2168.1001875317465,-0.7831899812468253,7831.899812468253
lightgbm,general_ev,0.001,10,113139,2031,1295.4103456861824,-0.8704589654313817,8704.589654313817
lightgbm,general_ev,0.001,25,113139,2042,1592.2448913094083,-0.8407755108690591,8407.755108690591
lightgbm,general_ev,0.001,50,113139,2268,2220.026292137079,-0.777997370786292,7779.9737078629205
lightgbm,general_ev,0.001,100,113139,2187,4188.966383956798,-0.5811033616043202,5811.033616043202
lightgbm,general_ev,0.01,1,113139,1403,2543.526039152098,-0.7456473960847902,7527.874898454202
lightgbm,general_ev,0.01,5,113139,1879,2168.1001875317465,-0.7831899812468253,7831.899812468253
lightgbm,general_ev,0.01,10,113139,2031,1295.4103456861824,-0.8704589654313817,8704.589654313817
lightgbm,general_ev,0.01,25,113139,2042,1592.2448913094083,-0.8407755108690591,8407.755108690591
lightgbm,general_ev,0.01,50,113139,2268,2220.026292137079,-0.777997370786292,7779.9737078629205
lightgbm,general_ev,0.01,100,113139,2187,4188.966383956798,-0.5811033616043202,5811.033616043202
lightgbm,general_ev,0.05,1,113139,1403,2543.526039152098,-0.7456473960847902,7527.874898454202
lightgbm,general_ev,0.05,5,113139,1879,2168.1001875317465,-0.7831899812468253,7831.899812468253
lightgbm,general_ev,0.05,10,113139,2031,1295.4103456861824,-0.8704589654313817,8704.589654313817
lightgbm,general_ev,0.05,25,113139,2042,1592.2448913094083,-0.8407755108690591,8407.755108690591
lightgbm,general_ev,0.05,50,113139,2268,2220.026292137079,-0.777997370786292,7779.9737078629205
lightgbm,general_ev,0.05,100,113139,2187,4188.966383956798,-0.5811033616043202,5811.033616043202
lightgbm,general_ev,0.1,1,113139,1403,2543.526039152098,-0.7456473960847902,7527.874898454202
lightgbm,general_ev,0.1,5,113139,1879,2168.1001875317465,-0.7831899812468253,7831.899812468253
lightgbm,general_ev,0.1,10,113139,2031,1295.4103456861824,-0.8704589654313817,8704.589654313817
lightgbm,general_ev,0.1,25,113139,2042,1592.2448913094083,-0.8407755108690591,8407.755108690591
lightgbm,general_ev,0.1,50,113139,2268,2220.026292137079,-0.777997370786292,7779.9737078629205
lightgbm,general_ev,0.1,100,113139,2187,4188.966383956798,-0.5811033616043202,5811.033616043202
lightgbm,general_ev,0.2,1,67649,1256,12255.97687862926,0.22559768786292606,448.8779999999988
lightgbm,general_ev,0.2,5,67649,2017,12238.674302240535,0.22386743022405353,349.38120364628776
lightgbm,general_ev,0.2,10,67649,1776,10861.640103861067,0.08616401038610674,425.28575822185667
lightgbm,general_ev,0.2,25,67649,1694,9344.870534712223,-0.06551294652877769,655.1294652877768
lightgbm,general_ev,0.2,50,67649,1597,9365.629281459409,-0.0634370718540591,634.370718540591
lightgbm,general_ev,0.2,100,67649,1220,8653.843625265983,-0.1346156374734017,1346.156374734017
random_forest,general_ev,0.001,1,114774,1295,2349.6606685865886,-0.7650339331413412,7915.88358494943
random_forest,general_ev,0.001,5,114774,1732,2538.536477498571,-0.7461463522501429,7506.02826411398
random_forest,general_ev,0.001,10,114774,1800,2385.517885608166,-0.7614482114391834,7614.482114391834
random_forest,general_ev,0.001,25,114774,2073,3423.579416193813,-0.6576420583806187,6576.420583806187
random_forest,general_ev,0.001,50,114774,2184,4930.3134934616055,-0.5069686506538394,5069.6865065383945
random_forest,general_ev,0.001,100,114774,1920,6436.117305332327,-0.35638826946676727,3563.8826946676727
random_forest,general_ev,0.01,1,114752,1295,2347.2674406950937,-0.7652732559304907,7914.689831222089
random_forest,general_ev,0.01,5,114752,1736,2545.6173628178794,-0.7454382637182121,7498.393720348562
random_forest,general_ev,0.01,10,114752,1807,2448.083380997416,-0.7551916619002584,7551.916619002584
random_forest,general_ev,0.01,25,114752,2075,3488.6313362395904,-0.651136866376041,6511.36866376041
random_forest,general_ev,0.01,50,114752,2181,4962.585484188592,-0.5037414515811408,5037.414515811408
random_forest,general_ev,0.01,100,114752,1915,6459.067275332327,-0.3540932724667673,3540.932724667673
random_forest,general_ev,0.05,1,115282,1723,2415.7337185642355,-0.7584266281435764,7883.786139971367
random_forest,general_ev,0.05,5,115282,2237,2942.6503043941198,-0.7057349695605881,7057.349695605881
random_forest,general_ev,0.05,10,115282,2190,3351.6558949099904,-0.6648344105090009,6648.344105090009
random_forest,general_ev,0.05,25,115282,2206,4582.722784823057,-0.5417277215176943,5417.277215176943
random_forest,general_ev,0.05,50,115282,2269,5563.287067267203,-0.44367129327327964,4436.712932732797
random_forest,general_ev,0.05,100,115282,1950,6807.682786043963,-0.31923172139560374,3192.3172139560374
random_forest,general_ev,0.1,1,119201,2257,2563.5508561247952,-0.7436449143875205,7688.5883150073405
random_forest,general_ev,0.1,5,119201,2566,3737.0147301658535,-0.6262985269834146,6264.559982977346
random_forest,general_ev,0.1,10,119201,2508,4337.364919112252,-0.5662635080887748,5667.301684808399
random_forest,general_ev,0.1,25,119201,2455,5194.211843778046,-0.48057881562219534,4808.549933999731
random_forest,general_ev,0.1,50,119201,2450,6074.21796761535,-0.392578203238465,3926.912921273539
random_forest,general_ev,0.1,100,119201,2082,7228.809413475352,-0.27711905865246483,2771.5060309690925
random_forest,general_ev,0.2,1,128850,3702,19369.300593227035,0.9369300593227036,1065.8368922545833
random_forest,general_ev,0.2,5,128850,3645,13690.546363970345,0.3690546363970345,917.2284520316407
random_forest,general_ev,0.2,10,128850,3340,11496.495634040948,0.1496495634040948,876.6339328799095
random_forest,general_ev,0.2,25,128850,2997,10046.827368948383,0.004682736894838308,377.59753993776576
random_forest,general_ev,0.2,50,128850,2827,9935.703224051293,-0.006429677594870736,276.75621892534764
random_forest,general_ev,0.2,100,128850,1991,10003.753498557628,0.00037534985576276087,59.82245431614683
hist_gbm,top5pct_edge,0.001,1,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,top5pct_edge,0.001,5,12858,914,12464.01406539494,0.24640140653949402,179.93666666667377
hist_gbm,top5pct_edge,0.001,10,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524
hist_gbm,top5pct_edge,0.001,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.001,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.001,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
hist_gbm,top5pct_edge,0.01,1,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,top5pct_edge,0.01,5,12858,914,12464.01406539494,0.24640140653949402,179.93666666667377
hist_gbm,top5pct_edge,0.01,10,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524
hist_gbm,top5pct_edge,0.01,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.01,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.01,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
hist_gbm,top5pct_edge,0.05,1,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,top5pct_edge,0.05,5,12858,914,12464.01406539494,0.24640140653949402,179.93666666667377
hist_gbm,top5pct_edge,0.05,10,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524
hist_gbm,top5pct_edge,0.05,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.05,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.05,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
hist_gbm,top5pct_edge,0.1,1,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,top5pct_edge,0.1,5,12858,914,12464.01406539494,0.24640140653949402,179.93666666667377
hist_gbm,top5pct_edge,0.1,10,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524
hist_gbm,top5pct_edge,0.1,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.1,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.1,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
hist_gbm,top5pct_edge,0.2,1,12858,597,12709.042345954447,0.2709042345954447,92.00000000001091
hist_gbm,top5pct_edge,0.2,5,12858,913,12463.030732061608,0.24630307320616085,180.92000000000735
hist_gbm,top5pct_edge,0.2,10,12858,919,11058.18788941115,0.10581878894111506,226.31969302325524
hist_gbm,top5pct_edge,0.2,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.2,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.2,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
