condition_id,question,is_yes,n_test,logreg_roc,mlp_roc
0xde198459d02ee47ff256c5e42210f7956baf2257c99f82b8216dc2f85b23dd71,"US strikes Iran by February 11, 2026?",0,426,0.9576620679424417,0.967690253671562
0x7c39ac9cc39be478f9fc273f78ad5e61cef5869f5b87860cc3f439a9abfa2648,"US strikes Iran by February 12, 2026?",0,561,0.891089256890058,0.9512315418186166
0x6c75d784a1595477270d81e764cf5b2b61f9a149fc6d5c7b4b040f6f44870946,"US strikes Iran by February 16, 2026?",0,541,0.8882319736177546,0.9220713627855849
0xe209dc6ca6921ff591483aef5a5e8873ab6f59fa69b1d6cbe05b627c71e8ba44,"US strikes Iran by February 14, 2026?",0,460,0.9204162306708522,0.9136146959655854
0x22cd37c5d898b14fb912e2f7501cdc76760551c483c9fb9f78f61b21eebfcb24,"US strikes Iran by February 7, 2026?",0,826,0.861686674669868,0.9037875150060024
0x905bd0615b38b035e60e69a46e0f185729ace5825a92f6dc39aede1d3ad31a13,"US strikes Iran by February 15, 2026?",0,542,0.9565405750507331,0.899126707253118
0xf91604aae685d24b889529b101c599db739db5d883d393d841c0f88924046d27,"US strikes Iran by February 10, 2026?",0,583,0.8006954266855258,0.8947666195190948
0xb4bc113c6da82db67b6b17d39369de522e61425dd3609b9bf9306d266230b3a7,"US strikes Iran by February 3, 2026?",0,731,0.8618717868009653,0.8792586597119174
0xa9f0b0c67a815b423a435c523dc9358d98ab5633de5108fe44e203e8d6c2f062,"US strikes Iran by February 4, 2026?",0,694,0.8124333155508136,0.8731244998666311
0x7011cb54689f777d1010d94178451ee3c03a6b892e2ace8787abbe85e762bd11,"US strikes Iran by January 24, 2026?",0,974,0.8490850541811492,0.8688023921488448
0x168959e2c7e997109d9bb7b6dd4c51d8a4f4fb0d8a65eb2b034d29e1240b15e1,"US strikes Iran by February 25, 2026?",0,2217,0.8157767058757158,0.8677225842242344
0x4cca07aafd4267f7ceeb16e4ef7c7d5587cb906a13f5ab404275dad21dd6bff2,"US strikes Iran by January 25, 2026?",0,657,0.8105620247374741,0.8616187989556136
0x1c9a2a68c5e470cff041f2633405fd8e7799dd599dd30c20622ec7c7d9032f6c,"US strikes Iran by January 27, 2026?",0,518,0.8518849916487712,0.8588493199713672
0x94d52f34382e9c074fb62d6ad0cf715e4ae799fb58867bbf4b443b8c34a51a09,"US strikes Iran by January 17, 2026?",0,1765,0.8423580842172935,0.8550151076824173
0xb755d7a41ab845801e7b03e69c763169880c9970d12aaf4a90a40aa97da4c65e,"US strikes Iran by February 17, 2026?",0,933,0.8187818892208687,0.8536842105263158
0xb02e8bc0b915c7d6fc79363f84ca301edeb3c5cd7a7c30cf9517cb4a49a96e35,"US strikes Iran by February 13, 2026?",0,4427,0.7486288078163374,0.8429383244687921
0xc734f61dbb7fbf5ff7afac8c18b1f05f13c4b9b408f8f8d6d210a862ebabd00d,"US strikes Iran by February 8, 2026?",0,653,0.8001317523056654,0.8425089403350273
0xe5535e41e78edb730150ac1a497fbef7cef536022168771cb51a6b702705ebb1,"US strikes Iran by February 24, 2026?",0,3173,0.81166258272273,0.834052497170666
0x680efda99a9c43cae7a318972ec3156a6b100b48a43d12478bcbcea85eb58ed7,"US strikes Iran by February 26, 2026?",0,2898,0.8162327433121384,0.8319613908460789
0xac4c8f562f7c6f4a191570b07a6cd8926854205a91d6da197a43924bdc4659a3,"US strikes Iran by January 18, 2026?",0,2646,0.7873333436247343,0.8308219456122325
0x3397bfce4b2b513ae72da122de53f4f3747c9660fd62cb2b980132c6e7e4923d,"US strikes Iran by February 2, 2026?",0,1143,0.7731268035424059,0.8300341636538525
0x8a38e9511fe17e13fa7c3fc65923983c22d4d494b69091fad0107637a7cd1e32,"US strikes Iran by February 23, 2026?",0,2744,0.7800557168224398,0.8289509500568865
0xf7ebe673ed7e71d3846b4f0c74065351d9f7f2717088ea2a517d86ef0d02c7a8,"US strikes Iran by February 21, 2026?",0,2400,0.7842146081658069,0.8252319705123643
0x3bed62b0b7e3eb52c1f0d8a5d11edad1f74989038fc1cae2889cdbe96a248dfe,"US strikes Iran by February 5, 2026?",0,1276,0.7927260165811291,0.8182713185945518
0xe57fce6d333b67f7fb948464a393689ef410fe70dbded0f2f8bce59ffb205355,"US strikes Iran by February 22, 2026?",0,2630,0.7584975059639991,0.8135108797802355
0x6bbdeb8773a1470ba1053959a446bb0912b38f6091c8794583612bfa76a81a15,"US strikes Iran by February 6, 2026?",0,4142,0.7754266024324219,0.8040968091113575
0x8fcd8d30e559d75d1f1ac26fb61c118910d271a55ecce8e05367b1a6114bf20e,"US strikes Iran by February 1, 2026?",0,1178,0.7745819574228905,0.8023724208997869
0xc40e1cfe1b34a6062a93583328707d6d363d63b5d0234139efcfd66719da11ca,"US strikes Iran by December 31, 2025?",0,11,0.4642857142857143,0.7857142857142857
0x76a213c1f24dd30025a9f20355341a7a0fefcf1499b7c015ebd8493f55794d7a,"US strikes Iran by January 26, 2026?",0,2854,0.7447329880972237,0.7780388853390798
0x1b9cfd142b849edf7a886364d9821f7e8049cf7648e97c73f05e68827f516e2e,"US strikes Iran by February 19, 2026?",0,2633,0.7297650598508816,0.7767357449445893
0xfabc0ff190e456ad309ec0559554b4549f90aebcd636d9a6293a89abf5c78722,"US strikes Iran by January 30, 2026?",0,1319,0.7346224796323473,0.7753485847298957
0xd1047755d35a03b7ceea9923daae56ecf67784446daa63e87eebc471b4b9dbd9,"US strikes Iran by January 16, 2026?",0,4452,0.7387536730278665,0.7734229188866286
0xebb6eccd872f55e23da6aaf653a3460299237ebdd0a71bdb58681685fd95eb05,"US strikes Iran by January 12, 2026?",0,1188,0.6954535147392291,0.7691439909297052
0xb75c745c6d2d6031875955ba01b62af90c622b22852af00391d45fab49ef0aea,"US strikes Iran by January 29, 2026?",0,926,0.7031891659822296,0.7682044724856267
0x70cdc92881a74fa13b6d861aae79f3b153989f29b285f234bd8be08f723812a9,"US strikes Iran by January 28, 2026?",0,558,0.7081920032891357,0.7565525747764416
0xd81f611670339738cb6ac259b94a54b5b08e372f19c063a8ad6fb2a8c7fe3ed8,"Trump announces US x Iran ceasefire end by April 18, 2026?",0,559,0.731104439327251,0.755035415512869
0xda368e1f843931105e33e4d00c06e20f962ffc233389b8df15f53efc9d3d2984,"US strikes Iran by February 9, 2026?",0,2755,0.6234967982094676,0.748022172958446
0x843fc1f23d8cfd3df343031312a8a3f0a930ad118c0c0e81a56c21f0ea9ff217,"US strikes Iran by January 23, 2026?",0,5723,0.6837144443090587,0.734615682842806
0xe1c67f75aac5b10dc28f1a2fbb79b079fc7f7320abfbd6a950a50c372979569b,"US strikes Iran by February 20, 2026?",0,5712,0.7480076237922706,0.7148838818438004
0x4f7faa55b26773289b8253c2cb587a8bf880f083c79963076e524c599d03efda,"US strikes Iran by February 18, 2026?",0,1510,0.6310476608829343,0.7105996046562706
0x09cbe3e796661a1d820580145488ad2ccb9ad1e720efcd64b448bb77b97007c1,"US strikes Iran by February 27, 2026?",0,5948,0.6664505112932042,0.7059353702594554
0x4fad2d024d0a82efa02dcef616a30739eb6cb5c5f088ec92a4ffbc7bda6f69b1,Iran x Israel/US conflict ends by March 7?,0,999,0.6588768929671458,0.6989420238706365
0x64b14a09a6cf9dc02b840bc83f4dcfd41ca6108544c47ecabc6e5d00bc15fd2e,"US strikes Iran by January 14, 2026?",0,2203,0.6020028187819895,0.6978208012923539
0x02f5a047fbad390edaed349f8499f6f7ad8a80bd28db4f7d54a21d65df2cd122,"Trump announces US x Iran ceasefire end by April 10, 2026?",0,151,0.5295358649789029,0.6958509142053446
0x46f15cb064fb468e39de360f14f5847898ef9b1489d15e9df702b92f1836598d,"Trump announces US x Iran ceasefire end by April 15, 2026?",0,643,0.6765059773327122,0.6957188324794286
0x843913ab7d12cd0603524e2766ce3d128997bd0f64bfc6385a4a579552ecd152,"US strikes Iran by January 11, 2026?",0,2035,0.5841497222893021,0.6934962569427675
0x42911c6ff6bc9f36adb99592a9ecd5e31e14e7dfe9beef7c2b18c36b0db23cc4,"US strikes Iran by January 13, 2026?",0,2164,0.5948701360935404,0.6876642980366384
0x5da48084a431e8c888b18c89e33f317207c8f5282605a052e155dcde9a4b9ac8,"US strikes Iran by March 10, 2026?",1,316,0.5482295482295483,0.6777045177045177
0x2d4d7f2eea43913d65c93351621a733f66ec079e111c278b34e8cc9e06ebe751,"US strikes Iran by January 15, 2026?",0,2458,0.6309936738821706,0.6721005293282265
0x7320a31f5b0babc0c2c99e8a14d120f577affb38793379307b6f56efdb849f49,"US strikes Iran by March 5, 2026?",1,1116,0.6080942085953879,0.6558667452830188
0xf98a7ee2b96f9f3f95a66b62f19cac40c48421f75a976bad7cd402758a54e3d0,"US strikes Iran by March 13, 2026?",1,221,0.6167748727846991,0.649061238813827
0xabb86b080e9858dcb3f46954010e49b6f539c20036856c7f999395bfd58d01e6,"US strikes Iran by January 31, 2026?",0,17818,0.6445123891599487,0.6239703131913739
0xacb70ddf71d1bdc0268016fb8e00099fc8f533c59ef1f13231d0af5fad0fbb34,"US strikes Iran by March 8, 2026?",1,494,0.5702108418602314,0.5887327717582436
0x98c0aa27e741d5bfeb0a06e68bddd256b857fd27597c76c500250db1483c51aa,"US strikes Iran by March 15, 2026?",1,3640,0.5039395996561091,0.572502767474296
0x9a21e81fe56f92ffc029ebdd92dda7a7d45f0c65e10f8f4b3c8d047c62211b47,"Will the US x Iran ceasefire be extended by April 14, 2026?",0,179,0.5488139825218477,0.5722846441947566
0x3fd34574748b52ffce77be26503321c34e0afbe6c2d16efc5a10b0b488b8ce5d,"Will the US x Iran ceasefire be extended by April 18, 2026?",0,103,0.48151260504201676,0.5722689075630252
0x4b02efe53e631ada84681303fd66d79ad615f3d2b6a28b4633d43d935f89af58,"US strikes Iran by March 31, 2026?",1,11367,0.5069485545606235,0.5698392494260195
0xf8d9cd66b6243209edf9312b14701622f64578e17e1f2eb678f24819433d7619,"Trump announces US x Iran ceasefire end by April 12, 2026?",0,355,0.5141837190029961,0.567699368904188
0xeea3c1ef1764cffd540a50c7c85513ede593ce3d4bfe452aec6a0bce3e3b4d62,"US strikes Iran by March 4, 2026?",1,1020,0.6972040137049363,0.5673615552902929
0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,"US strikes Iran by February 28, 2026?",1,19247,0.5826440835498963,0.5665651431334809
0x5a200d7d560169d60dc82cd16bb14c16f36f029fdf609dcb92d06a554f9f0fe1,Iran x Israel/US conflict ends by March 31?,0,3104,0.5990004584702051,0.5662769882374137
0x43edd40756d4dfaa633687ddbfab445cdd21f9083a45289871e95b5292793bca,"US strikes Iran by December 31, 2026?",1,1319,0.4393860380222472,0.5579506353337772
0xdc286ca5f101f7a88e51c89e0be838983f32e4932e941a881973df91f5878536,"US strikes Iran by March 12, 2026?",1,231,0.7517136329017517,0.5495049504950495
0x824df6aa7e270678a5239d697918e918834a52cc6e59ebc25b650b2df649ac82,"US strikes Iran by March 7, 2026?",1,1543,0.5134440422868176,0.5271626964498314
0x3fc804e4d893f86d49229eb42492cabf6150f5bcbf36c1b66d1e8f22bc15ec6d,"US strikes Iran by March 2, 2026?",1,1847,0.7720381509499936,0.5270562719424665
0x6a4d97b6b54f49991f3984998fc8423668b09e9ea21de7074f27ab7dd4953ba3,"US strikes Iran by March 3, 2026?",1,1204,0.6049375989441916,0.5215323749935676
0x63eed4826f75272a6ff68e0d0d6d0e0e685407a75e5dc9dd78236693c4ab1741,"US strikes Iran by March 6, 2026?",1,880,0.6350947158524427,0.521461656696577
0x7e7e6199b1670c7f083fa22ee2bc53ff51d710a417fae70bb96b623e6f4c281c,"US strikes Iran by March 9, 2026?",1,372,0.6772258908348487,0.5193798449612403
0xc5dee81018bb9a94aeeae933e3824b534fad8aaadbd342c2a518e1eddbf88593,Iran x Israel/US conflict ends by March 15?,0,1973,0.4514421748008854,0.5093113001964897
0xa2fc7ad04414ad58b0d122558de5e8784c38a024a038cc08de54fd8a9cebb1ef,"Trump announces US x Iran ceasefire end by April 8, 2026?",0,17,0.5857142857142856,0.5
0x15aa3c1259a716915e068a0d63c3885d2301d29e8982cbb1717ecb9b63d02d95,"US strikes Iran by March 1, 2026?",1,3514,0.7469290452960949,0.4739131197107367
0x797d586ad45522306490b0cc9b2f21bdf957f3843476fae99f3bcc2cec83b74b,"US strikes Iran by June 30, 2026?",1,8223,0.5943843752965345,0.4483212945699257
0x1a9c672954add1948931ece050d225bfbfa7650979bbe6458ac3af08d1e44742,"US strikes Iran by March 11, 2026?",1,239,0.7115892496504583,0.40640049712599036
0x88d15da5bbd95766495c0229da4dab1382cc81e313c6be925558f86b8b628d91,"US strikes Iran by March 14, 2026?",1,244,0.7052185109444823,0.39339544043020525
